iter	Passed	Remaining
408	4764	53485
409	4779	53507
410	4793	53520
411	4806	53525
412	4819	53523
413	4831	53517
414	4843	53510
415	4855	53509
416	4868	53504
417	4880	53496
418	4891	53478
419	4902	53465
420	4915	53467
421	4928	53462
422	4940	53461
423	4951	53439
424	4963	53426
425	4975	53422
426	4987	53412
427	4998	53391
428	5010	53389
429	5024	53396
430	5037	53398
431	5050	53403
432	5063	53402
433	5075	53393
434	5091	53426
435	5105	53438
436	5118	53447
437	5131	53446
438	5145	53460
439	5157	53455
440	5170	53448
441	5183	53453
442	5198	53477
443	5212	53485
444	5227	53511
445	5242	53524
446	5256	53541
447	5269	53546
448	5283	53554
449	5296	53548
450	5309	53551
451	5321	53548
452	5334	53543
453	5347	53541
454	5359	53539
455	5374	53553
456	5387	53554
457	5400	53554
458	5414	53566
459	5427	53571
460	5440	53567
461	5453	53563
462	5466	53566
463	5479	53565
464	5493	53576
465	5507	53588
466	5521	53592
467	5535	53602
468	5548	53601
469	5560	53596
470	5573	53593
471	5585	53582
472	5599	53588
473	5613	53596
474	5625	53591
475	5637	53581
476	5649	53568
477	5660	53552
478	5671	53532
479	5682	53506
480	5692	53480
481	5703	53461
482	5714	53439
483	5725	53420
484	5737	53408
485	5749	53397
486	5761	53389
487	5771	53366
488	5782	53342
489	5794	53330
490	5806	53326
491	5818	53308
492	5828	53286
493	5839	53261
494	5850	53245
495	5861	53224
496	5871	53196
497	5882	53178
498	5893	53161
499	5905	53145
500	5916	53132
501	5926	53105
502	5937	53087
503	5950	53078
504	5960	53054
505	5972	53042
506	5983	53026
507	5995	53018
508	6007	53002
509	6017	52981
510	6028	52963
511	6040	52951
512	6051	52932
513	6062	52909
514	6073	52889
515	6083	52864
516	6093	52839
517	6104	52818
518	6113	52786
519	6124	52768
520	6134	52734
521	6145	52720
522	6156	52699
523	6167	52679
524	6177	52657
525	6187	52628
526	6198	52607
527	6208	52586
528	6220	52572
529	6231	52559
530	6242	52537
531	6253	52517
532	6263	52495
533	6274	52476
534	6285	52455
535	6295	52432
536	6306	52412
537	6317	52391
538	6329	52384
539	6340	52368
540	6351	52346
541	6361	52323
542	6373	52310
543	6384	52297
544	6395	52275
545	6406	52263
546	6418	52253
547	6430	52238
548	6440	52213
549	6449	52186
550	6461	52173
551	6474	52168
552	6484	52144
553	6496	52136
554	6507	52122
555	6519	52110
556	6530	52095
557	6542	52078
558	6553	52067
559	6565	52057
560	6577	52044
561	6589	52033
562	6600	52019
563	6612	52008
564	6622	51985
565	6635	51979
566	6646	51961
567	6657	51948
568	6669	51934
569	6681	51926
570	6692	51909
571	6703	51895
572	6715	51880
573	6725	51859
574	6737	51848
575	6748	51828
576	6758	51808
577	6772	51812
578	6783	51794
579	6793	51771
580	6804	51751
581	6817	51751
582	6828	51736
583	6839	51719
584	6851	51705
585	6864	51705
586	6875	51691
587	6886	51675
588	6898	51661
589	6910	51653
590	6921	51636
591	6931	51612
592	6941	51589
593	6953	51574
594	6963	51553
595	6975	51542
596	6987	51530
597	6998	51515
598	7009	51499
599	7019	51476
600	7029	51455
601	7040	51436
602	7051	51420
603	7063	51412
604	7074	51394
605	7086	51384
606	7098	51372
607	7109	51359
608	7121	51344
609	7133	51336
610	7147	51339
611	7161	51351
612	7173	51334
613	7185	51327
614	7196	51312
615	7208	51302
616	7220	51290
617	7231	51275
618	7242	51256
619	7253	51245
620	7265	51236
621	7277	51220
622	7289	51213
623	7300	51197
624	7312	51184
625	7323	51167
626	7333	51145
627	7343	51126
628	7355	51117
629	7367	51104
630	7378	51087
631	7389	51069
632	7400	51056
633	7412	51042
634	7422	51021
635	7432	51001
636	7443	50980
637	7454	50964
638	7464	50945
639	7475	50928
640	7487	50917
641	7499	50908
642	7511	50901
643	7523	50886
644	7534	50870
645	7545	50854
646	7556	50838
647	7566	50815
648	7577	50798
649	7588	50785
650	7599	50770
651	7611	50757
652	7622	50743
653	7634	50733
654	7645	50716
655	7656	50701
